ID	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene	d
IGHA1	2.935531283294193e-106	0.48271810080129496	0.313	0.104	6.826284446172317e-102	nonMalignant	IGHA1	0.20900000000000002
HNRNPA3	8.571244345837082e-106	0.4276747732727315	0.64	0.593	1.993157160180955e-101	nonMalignant	HNRNPA3	0.04700000000000004
SFPQ	1.2168364394825415e-104	0.48211034791450424	0.438	0.237	2.829631456372702e-100	nonMalignant	SFPQ	0.201
DNAJB1	1.737293526075373e-104	1.038439376424394	0.66	0.589	4.039902365535672e-100	nonMalignant	DNAJB1	0.07100000000000006
RPL34	1.980334924473879e-104	0.49434668847213237	0.998	0.984	4.605070833371559e-100	nonMalignant	RPL34	0.014000000000000012
UBB	4.9016196189567154e-104	0.5554332149604781	0.993	0.982	1.1398226261921946e-99	nonMalignant	UBB	0.01100000000000001
MAD2L1	1.10454410864728e-103	0.411961389521316	0.273	0.092	2.568506870248385e-99	nonMalignant	MAD2L1	0.18100000000000002
ACTR2	9.289048082956363e-103	0.45663531019515774	0.415	0.194	2.1600752412106726e-98	nonMalignant	ACTR2	0.22099999999999997
SRRM1	1.9216561926669075e-102	0.46954516637831545	0.5	0.293	4.4686193104276265e-98	nonMalignant	SRRM1	0.20700000000000002
LY6E	1.943771819707246e-102	0.49401930434364005	0.519	0.272	4.5200469895472294e-98	nonMalignant	LY6E	0.247
MCL1	3.816673483133548e-102	0.577964464701239	0.515	0.296	8.875292517678753e-98	nonMalignant	MCL1	0.21900000000000003
BAZ1A	4.1800242823284626e-102	0.3432583048062725	0.255	0.078	9.720228466126607e-98	nonMalignant	BAZ1A	0.177
FUS	6.141632281987344e-102	0.4868489286022289	0.464	0.248	1.428175170853337e-97	nonMalignant	FUS	0.21600000000000003
CMC1	3.5751176411070215e-101	0.6053152834641343	0.325	0.266	8.313578562630268e-97	nonMalignant	CMC1	0.059
SH3BGRL	5.3083850237313416e-101	0.40545616696131515	0.368	0.151	1.2344118534184862e-96	nonMalignant	SH3BGRL	0.217
RHOG	1.0226697866447045e-100	0.3586918233588865	0.302	0.108	2.3781163218635958e-96	nonMalignant	RHOG	0.194
ANXA5	1.074144962532922e-100	0.5200107765477201	0.521	0.276	2.497816695874057e-96	nonMalignant	ANXA5	0.245
S100A11	1.2490246437357394e-100	0.6747160623413024	0.643	0.401	2.9044819065430885e-96	nonMalignant	S100A11	0.242
TPT1	2.871785350368735e-100	0.44592389053117243	0.993	0.966	6.678049653747456e-96	nonMalignant	TPT1	0.027000000000000024
SLC25A6	8.556026115599533e-100	0.41718445661189274	0.74	0.667	1.9896183129215154e-95	nonMalignant	SLC25A6	0.07299999999999995
HSPA8	1.923644370611537e-99	0.6067258623521883	0.845	0.812	4.473242619420068e-95	nonMalignant	HSPA8	0.03299999999999992
UBE2C	6.867092152359167e-99	0.6516899554249003	0.335	0.132	1.5968736091096008e-94	nonMalignant	UBE2C	0.203
HP1BP3	5.2567348993063695e-98	0.46783480201064337	0.37	0.187	1.2224011334847031e-93	nonMalignant	HP1BP3	0.183
VAMP2	2.2908234876564244e-97	0.3650733574956789	0.328	0.132	5.327080938196249e-93	nonMalignant	VAMP2	0.196
AC090498.1	2.3926413555262456e-97	0.5181294266531933	0.531	0.491	5.563848208140732e-93	nonMalignant	AC090498.1	0.040000000000000036
HSP90AA1	7.270156571470552e-97	0.8661746753600292	0.964	0.935	1.6906022091297623e-92	nonMalignant	HSP90AA1	0.028999999999999915
TRAPPC1	2.6152168578993014e-96	0.43148899614007763	0.474	0.251	6.081425281359036e-92	nonMalignant	TRAPPC1	0.22299999999999998
FOSB	4.274856109841315e-96	0.8145013341631063	0.348	0.165	9.940750397824993e-92	nonMalignant	FOSB	0.18299999999999997
ABRACL	5.8719938470966584e-96	0.4522338709509047	0.402	0.198	1.365473449203857e-91	nonMalignant	ABRACL	0.20400000000000001
CALM2	9.826440467624117e-96	0.5064838749980058	0.952	0.909	2.285040466341312e-91	nonMalignant	CALM2	0.04299999999999993
HLA-A	8.216195395995987e-94	0.7599227390948449	0.96	0.923	1.9105940773849067e-89	nonMalignant	HLA-A	0.03699999999999992
CTSC	9.75035561186608e-94	0.5586215379773609	0.39	0.185	2.2673476939833386e-89	nonMalignant	CTSC	0.20500000000000002
YWHAZ	5.612645997632848e-93	0.4831899246685909	0.651	0.477	1.3051647002895425e-88	nonMalignant	YWHAZ	0.17400000000000004
IRF1	8.876418981466989e-93	0.4314848326987839	0.312	0.121	2.0641224699503337e-88	nonMalignant	IRF1	0.191
RORA	7.158119770835469e-92	0.35444282727687393	0.268	0.092	1.66454917151008e-87	nonMalignant	RORA	0.17600000000000002
MT1F	7.16218138337485e-92	0.5250145205822602	0.318	0.117	1.6654936588899878e-87	nonMalignant	MT1F	0.201
DUSP1	1.5178136292837895e-91	0.7736213535213801	0.709	0.593	3.5295238135365243e-87	nonMalignant	DUSP1	0.11599999999999999
MYH9	4.361035758306606e-91	0.36812992267051836	0.326	0.127	1.014115255236618e-86	nonMalignant	MYH9	0.199
ARID4B	4.545218325985179e-91	0.37521196532273815	0.315	0.129	1.0569450695245935e-86	nonMalignant	ARID4B	0.186
PDCD4	1.0110591049468904e-90	0.35318300297615085	0.316	0.122	2.3511168426434987e-86	nonMalignant	PDCD4	0.194
NR3C1	2.9760635175412026e-90	0.35217477480705073	0.289	0.106	6.920538103690313e-86	nonMalignant	NR3C1	0.183
THRAP3	1.5311511996512413e-88	0.38075740408397435	0.361	0.17	3.5605389996689966e-84	nonMalignant	THRAP3	0.19099999999999998
CNN2	1.531283763940751e-88	0.3370994245084897	0.26	0.086	3.5608472646678224e-84	nonMalignant	CNN2	0.17400000000000002
ARPC1B	1.7476270554739961e-88	0.3270948695540643	0.473	0.479	4.063931954799231e-84	nonMalignant	ARPC1B	-0.006000000000000005
WSB1	1.967750426715622e-88	0.46097686105942226	0.405	0.194	4.575806842284507e-84	nonMalignant	WSB1	0.21100000000000002
NFKBIA	3.20525017116977e-88	0.7435853618723691	0.661	0.569	7.453488748038182e-84	nonMalignant	NFKBIA	0.09200000000000008
RAN	5.495426512327484e-88	0.3718700403361168	0.734	0.755	1.2779064811766331e-83	nonMalignant	RAN	-0.02100000000000002
TACC1	6.605343605829822e-88	0.35371222501564936	0.283	0.104	1.5360066020996668e-83	nonMalignant	TACC1	0.179
PPP1R12A	8.591167483164368e-88	0.3203839611969441	0.279	0.098	1.9977900865350422e-83	nonMalignant	PPP1R12A	0.18100000000000002
RPL21	1.3237336675928953e-87	0.3946297845497031	0.998	0.989	3.0782102706205187e-83	nonMalignant	RPL21	0.009000000000000008
MYL12B	8.134420309716948e-87	0.4286735769675354	0.895	0.862	1.891578098821579e-82	nonMalignant	MYL12B	0.03300000000000003
NCOR1	2.5995328784492404e-86	0.33026132058194474	0.302	0.115	6.044953755545863e-82	nonMalignant	NCOR1	0.187
SKA2	4.681243532058165e-86	0.3618847095908001	0.27	0.107	1.0885763709448056e-81	nonMalignant	SKA2	0.16300000000000003
RNF19A	1.1744807771023144e-85	0.3674942173065668	0.291	0.119	2.731137599073722e-81	nonMalignant	RNF19A	0.172
OSTF1	6.436753921456578e-85	0.33878135599496945	0.314	0.132	1.4968027568955127e-80	nonMalignant	OSTF1	0.182
SF3B1	1.2868584486342863e-84	0.4183534671395222	0.399	0.205	2.9924606364541695e-80	nonMalignant	SF3B1	0.19400000000000003
ATRX	1.3645252404875044e-83	0.36140081082624276	0.321	0.133	3.173066994229643e-79	nonMalignant	ATRX	0.188
ARPP19	2.5079056584941054e-83	0.33796103820498474	0.337	0.151	5.831883818262192e-79	nonMalignant	ARPP19	0.18600000000000003
SRSF11	5.2891139013194754e-83	0.42542211653548306	0.45	0.254	1.229930546612831e-78	nonMalignant	SRSF11	0.196
HLA-DQA1	9.823592910162224e-83	0.643640936444005	0.296	0.111	2.2843782953291236e-78	nonMalignant	HLA-DQA1	0.185
PPP1CA	5.857028538256133e-82	0.388474060417605	0.507	0.415	1.3619934162860811e-77	nonMalignant	PPP1CA	0.09200000000000003
IFITM2	2.1712454213475182e-81	0.6044487705287354	0.658	0.523	5.049014102801519e-77	nonMalignant	IFITM2	0.135
SP100	2.484710632606778e-81	0.3580501593741715	0.349	0.17	5.777946105063801e-77	nonMalignant	SP100	0.17899999999999996
RAP1B	3.5631242931553884e-81	0.39533121924845555	0.4	0.238	8.28568923130354e-77	nonMalignant	RAP1B	0.16200000000000003
DDX24	9.984345474236152e-81	0.40187520187569375	0.409	0.227	2.321759696578875e-76	nonMalignant	DDX24	0.18199999999999997
CCL3	3.3633679017380604e-80	0.9515632653606356	0.369	0.21	7.821175718701686e-76	nonMalignant	CCL3	0.159
FCER1G	2.1949417639192185e-79	0.7976870451488909	0.287	0.162	5.104117577817751e-75	nonMalignant	FCER1G	0.12499999999999997
ARGLU1	2.9533043154497706e-79	0.3635220291883153	0.322	0.15	6.867613855146896e-75	nonMalignant	ARGLU1	0.17200000000000001
HLA-DPA1	6.762819200525869e-79	0.7085702216265644	0.528	0.313	1.5726259768902855e-74	nonMalignant	HLA-DPA1	0.21500000000000002
FBP1	9.110010679626686e-79	0.32454969674422085	0.197	0.255	2.1184418834403896e-74	nonMalignant	FBP1	-0.057999999999999996
FAM177A1	1.5516924995215208e-78	0.41820346045407886	0.412	0.307	3.608305738387345e-74	nonMalignant	FAM177A1	0.10499999999999998
MT1E	2.7061037676539683e-78	0.5223890648557648	0.546	0.357	6.292773701302538e-74	nonMalignant	MT1E	0.18900000000000006
WDR1	3.358914040674538e-78	0.35602805824708733	0.345	0.188	7.810818710184571e-74	nonMalignant	WDR1	0.15699999999999997
PRMT2	1.9491469972599495e-77	0.29607091217489256	0.26	0.102	4.5325464274282865e-73	nonMalignant	PRMT2	0.15800000000000003
NCL	2.0532256339322577e-77	0.401626954893862	0.641	0.572	4.774570889146072e-73	nonMalignant	NCL	0.06900000000000006
PPP1R2	3.509454177364283e-77	0.3503418326094211	0.32	0.151	8.160884744042903e-73	nonMalignant	PPP1R2	0.169
TRA2B	4.108811408573587e-77	0.3951333965318157	0.423	0.233	9.554630049497019e-73	nonMalignant	TRA2B	0.18999999999999997
RPS15A	6.289203985046434e-77	0.48469182673595324	0.976	0.958	1.4624914946826977e-72	nonMalignant	RPS15A	0.018000000000000016
RBM25	6.3385914587317965e-77	0.3482805751972866	0.351	0.168	1.473976057813492e-72	nonMalignant	RBM25	0.18299999999999997
PPDPF	6.685890950149081e-77	0.5058399196946459	0.755	0.591	1.5547370815476672e-72	nonMalignant	PPDPF	0.16400000000000003
PSMB10	4.875031494222461e-76	0.31287231959145595	0.264	0.11	1.1336398236664911e-71	nonMalignant	PSMB10	0.15400000000000003
BCLAF1	5.872767807410138e-76	0.33529224573612726	0.326	0.145	1.3656534259351535e-71	nonMalignant	BCLAF1	0.18100000000000002
EEF1A1	8.377197725129525e-76	0.45133915897987054	0.997	0.989	1.9480335590016198e-71	nonMalignant	EEF1A1	0.008000000000000007
SRSF3	9.557989944037399e-76	0.3487384618239835	0.637	0.596	2.2226149815864567e-71	nonMalignant	SRSF3	0.041000000000000036
PAFAH1B1	1.0830430043694853e-75	0.27049336658062695	0.26	0.093	2.518508202360801e-71	nonMalignant	PAFAH1B1	0.167
TYROBP	1.207493919941213e-75	0.9093644532550036	0.345	0.218	2.8079063614312967e-71	nonMalignant	TYROBP	0.12699999999999997
CLIC1	1.5225051382290618e-75	0.4205354297707662	0.759	0.671	3.5404334484378604e-71	nonMalignant	CLIC1	0.08799999999999997
ANKRD12	2.9379348036955827e-75	0.34960905077802973	0.322	0.141	6.831873592513708e-71	nonMalignant	ANKRD12	0.18100000000000002
NAP1L4	4.539089432634625e-75	0.33515829714888284	0.316	0.147	1.0555198566648557e-70	nonMalignant	NAP1L4	0.169
HNRNPUL1	4.662829973248193e-75	0.3081137565462255	0.276	0.113	1.0842944819791348e-70	nonMalignant	HNRNPUL1	0.16300000000000003
FAU	1.3837679398853761e-74	0.3492880267381069	0.991	0.974	3.2178139674094535e-70	nonMalignant	FAU	0.017000000000000015
HSPA1B	4.8297737839410015e-74	0.594635612016732	0.522	0.592	1.1231155957176405e-69	nonMalignant	HSPA1B	-0.06999999999999995
SRSF5	1.1150447807528621e-73	0.4120261806980151	0.498	0.32	2.5929251331627054e-69	nonMalignant	SRSF5	0.178
DDX6	1.5089086959580144e-73	0.29007617272771613	0.256	0.096	3.508816281580767e-69	nonMalignant	DDX6	0.16
UBE2D3	5.559279388644056e-73	0.3278984156450172	0.673	0.593	1.2927548290352887e-68	nonMalignant	UBE2D3	0.08000000000000007
YWHAH	7.758107414304455e-73	0.41507426709312495	0.38	0.213	1.804070298122358e-68	nonMalignant	YWHAH	0.167
ICAM3	2.1193100447589876e-72	0.29948056328014966	0.27	0.117	4.92824357808255e-68	nonMalignant	ICAM3	0.15300000000000002
DDX3X	3.068935819379232e-72	0.34395677539299246	0.334	0.154	7.136503354384466e-68	nonMalignant	DDX3X	0.18000000000000002
DDX39A	9.497122544737073e-72	0.3544120478327356	0.32	0.175	2.208460876553159e-67	nonMalignant	DDX39A	0.14500000000000002
KHDRBS1	1.1186919043024951e-71	0.3332462050580625	0.358	0.192	2.6014061542650223e-67	nonMalignant	KHDRBS1	0.16599999999999998
UBE2S	1.707770817253493e-71	0.4966491226255935	0.286	0.125	3.971250258441272e-67	nonMalignant	UBE2S	0.16099999999999998
DEFB1	3.1283503445185272e-71	0.7739799964358862	0.276	0.256	7.274665891143383e-67	nonMalignant	DEFB1	0.020000000000000018
HLA-DRA	3.5735422237308967e-71	0.8678548417714456	0.788	0.654	8.309915087063827e-67	nonMalignant	HLA-DRA	0.134
PCM1	7.608944385954319e-71	0.3008478463722736	0.265	0.105	1.7693839275098172e-66	nonMalignant	PCM1	0.16000000000000003
TPR	1.0870352708128123e-70	0.3676997008058466	0.362	0.188	2.527791818748114e-66	nonMalignant	TPR	0.174
ARPC5	1.3300749158824956e-70	0.3113057012661409	0.631	0.607	3.092956209393155e-66	nonMalignant	ARPC5	0.02400000000000002
RPL13	1.3725299831179878e-70	0.4269970817614448	0.973	0.92	3.191681222742569e-66	nonMalignant	RPL13	0.052999999999999936
RAD21	2.0147036973506216e-70	0.46065369457285166	0.418	0.265	4.6849919778191355e-66	nonMalignant	RAD21	0.15299999999999997
MZT2B	2.984771170173707e-70	0.2989965988834016	0.565	0.561	6.940786879121938e-66	nonMalignant	MZT2B	0.0039999999999998925
NAP1L1	4.176141625030941e-70	0.366698862228763	0.625	0.556	9.71119973484695e-66	nonMalignant	NAP1L1	0.06899999999999995
RPS27	4.673087715000172e-70	0.3546148592905176	1	0.997	1.08667981724614e-65	nonMalignant	RPS27	0.0030000000000000027
CCNDBP1	4.7767820538507535e-70	0.2850914582894518	0.269	0.116	1.1107928988024542e-65	nonMalignant	CCNDBP1	0.15300000000000002
ARPC4	1.1388902853288452e-69	0.363163301841506	0.394	0.231	2.6483754695036966e-65	nonMalignant	ARPC4	0.163
RSRC2	1.0399521868679477e-68	0.36932764360387144	0.419	0.249	2.4183048153427258e-64	nonMalignant	RSRC2	0.16999999999999998
ROCK1	1.859229106671742e-68	0.28721595858116217	0.267	0.109	4.323451364654469e-64	nonMalignant	ROCK1	0.15800000000000003
DCTN3	1.877828877682042e-68	0.35991541817627093	0.377	0.223	4.366703272161821e-64	nonMalignant	DCTN3	0.154
STAT1	5.351701576555371e-68	0.4147977965159493	0.354	0.187	1.244484684612186e-63	nonMalignant	STAT1	0.16699999999999998
JUN	1.560463448846306e-67	0.800455415547989	0.681	0.644	3.6287017039472e-63	nonMalignant	JUN	0.03700000000000003
H2AFY	2.833193639625233e-67	0.34092475049154214	0.348	0.231	6.588308489584517e-63	nonMalignant	H2AFY	0.11699999999999997
ARPC3	2.9634901096823016e-67	0.266813319359529	0.791	0.811	6.891299901055224e-63	nonMalignant	ARPC3	-0.020000000000000018
GADD45B	4.8667719783331195e-67	0.5792453329481281	0.431	0.269	1.1317191558415836e-62	nonMalignant	GADD45B	0.16199999999999998
PPP1R15A	5.112720512124536e-67	0.4949637970420384	0.397	0.233	1.1889120278894396e-62	nonMalignant	PPP1R15A	0.164
PSME1	1.9462592407203343e-66	0.3441108243802051	0.827	0.787	4.525831238371066e-62	nonMalignant	PSME1	0.039999999999999925
SRSF4	4.1062994611917107e-66	0.27958458126100716	0.272	0.116	9.548788767055203e-62	nonMalignant	SRSF4	0.15600000000000003
IGKC	5.756582748303268e-66	0.36734794704628837	0.758	0.575	1.338635752290442e-61	nonMalignant	IGKC	0.18300000000000005
RPS3A	6.254938127334505e-66	0.34895657735938856	0.985	0.957	1.4545233121303658e-61	nonMalignant	RPS3A	0.028000000000000025
KIF22	2.042459094504735e-65	0.3327042326381053	0.344	0.173	4.749534378361311e-61	nonMalignant	KIF22	0.17099999999999999
GCC2	1.0957305495106359e-64	0.29777573349477254	0.254	0.104	2.5480118198320327e-60	nonMalignant	GCC2	0.15000000000000002
HNRNPF	2.136763234520439e-64	0.3315351961373163	0.516	0.436	4.968829225553829e-60	nonMalignant	HNRNPF	0.08000000000000002
TANK	2.209092575599162e-64	0.31100604554406724	0.304	0.143	5.137023875298292e-60	nonMalignant	TANK	0.161
PSIP1	6.56616008473027e-64	0.304011018392218	0.251	0.121	1.526894866103177e-59	nonMalignant	PSIP1	0.13
RPL31	1.542471520876445e-63	0.32551788783543767	0.994	0.969	3.5868632746460853e-59	nonMalignant	RPL31	0.025000000000000022
RBPJ	2.808086246760795e-63	0.31865138770732665	0.254	0.12	6.5299237582175525e-59	nonMalignant	RBPJ	0.134
HNRNPR	5.909665093801394e-63	0.3525967661526298	0.407	0.253	1.3742335209125762e-58	nonMalignant	HNRNPR	0.15399999999999997
LGALS1	6.012821636725669e-63	0.8321840478662943	0.615	0.606	1.398221543404187e-58	nonMalignant	LGALS1	0.009000000000000008
FGFR1OP2	8.493200369971403e-63	0.2736367131653905	0.265	0.113	1.9750088140331502e-58	nonMalignant	FGFR1OP2	0.15200000000000002
USP1	1.406816213679925e-62	0.3027135790381592	0.251	0.108	3.271410423291298e-58	nonMalignant	USP1	0.14300000000000002
CASP4	1.5104280292186467e-62	0.27761279450173526	0.289	0.128	3.512349339145041e-58	nonMalignant	CASP4	0.16099999999999998
TUBB4B	1.522374980616071e-62	0.45599687324126637	0.466	0.305	3.5401307799246116e-58	nonMalignant	TUBB4B	0.16100000000000003
NBEAL1	1.8416168175541449e-62	0.36092323253163017	0.465	0.445	4.2824957475404086e-58	nonMalignant	NBEAL1	0.020000000000000018
MOB1A	2.940935693863037e-62	0.29850271594059596	0.322	0.16	6.838851862509106e-58	nonMalignant	MOB1A	0.162
RARRES3	3.211370030176596e-62	0.38099450439084326	0.365	0.221	7.467719868172656e-58	nonMalignant	RARRES3	0.144
IGHG1	3.516998975729552e-62	0.31641521636065273	0.35	0.178	8.178429418161501e-58	nonMalignant	IGHG1	0.172
G3BP2	4.232577638349005e-62	0.2718444135652386	0.273	0.118	9.842436040216776e-58	nonMalignant	G3BP2	0.15500000000000003
AIP	8.030293976649418e-62	0.27562420457147596	0.278	0.134	1.867364561330056e-57	nonMalignant	AIP	0.14400000000000002
DDX17	2.0622365334314923e-61	0.31952397613451833	0.371	0.19	4.795524834841592e-57	nonMalignant	DDX17	0.181
TSPO	1.748110715978123e-60	0.40845920526459023	0.442	0.294	4.065056658935527e-56	nonMalignant	TSPO	0.14800000000000002
GLTSCR2	1.3659003570273176e-59	0.2639437891991681	0.276	0.209	3.1762646902313244e-55	nonMalignant	GLTSCR2	0.06700000000000003
NUDT1	2.2950227843481575e-59	0.2938014194866658	0.253	0.118	5.3368459827232055e-55	nonMalignant	NUDT1	0.135
RPLP2	1.2969922471981331e-58	0.3541123517128977	0.996	0.987	3.0160257716345386e-54	nonMalignant	RPLP2	0.009000000000000008
HSPH1	2.427768813003488e-58	0.5772326386512173	0.344	0.222	5.64553359775831e-54	nonMalignant	HSPH1	0.12199999999999997
GPBP1	2.6638441551735373e-58	0.34130974973406214	0.401	0.241	6.194503198440544e-54	nonMalignant	GPBP1	0.16000000000000003
ATP1A1	3.1528124566680334e-58	0.4122155154358651	0.363	0.26	7.331550086735845e-54	nonMalignant	ATP1A1	0.10299999999999998
CDC37	3.6190803038762186e-58	0.29847441209605496	0.363	0.201	8.415809338633759e-54	nonMalignant	CDC37	0.16199999999999998
KLF6	5.108498028574962e-58	0.6558974123873322	0.632	0.518	1.1879301315648218e-53	nonMalignant	KLF6	0.11399999999999999
SRRM2	1.3095079981613658e-57	0.3052434006410342	0.347	0.18	3.04512989892444e-53	nonMalignant	SRRM2	0.16699999999999998
NUCKS1	1.3448381381361715e-57	0.4228435349568789	0.739	0.669	3.127286606421853e-53	nonMalignant	NUCKS1	0.06999999999999995
FOS	2.364536883642444e-57	0.8404177698573243	0.697	0.596	5.498494069222139e-53	nonMalignant	FOS	0.10099999999999998
MYL6	1.1057732410601389e-56	0.31321347771274066	0.986	0.976	2.571365094761247e-52	nonMalignant	MYL6	0.010000000000000009
TCF25	6.9103171752748215e-56	0.3000434658782713	0.337	0.186	1.606925155938407e-51	nonMalignant	TCF25	0.15100000000000002
HLA-DQB1	8.169740244494065e-56	0.5111300375337382	0.332	0.173	1.89979139645465e-51	nonMalignant	HLA-DQB1	0.15900000000000003
SCAF11	1.1664551866569886e-55	0.31033601254238297	0.357	0.198	2.712474891052161e-51	nonMalignant	SCAF11	0.15899999999999997
CDC42	1.2171476188711574e-55	0.32877421971308185	0.706	0.641	2.8303550729229895e-51	nonMalignant	CDC42	0.06499999999999995
DNAJA1	1.5387606856223614e-55	0.44767038792459957	0.679	0.627	3.578234098346239e-51	nonMalignant	DNAJA1	0.052000000000000046
SRSF10	3.0099670840822903e-55	0.31684090806663684	0.365	0.225	6.999377457324958e-51	nonMalignant	SRSF10	0.13999999999999999
TXNIP	5.902113415954265e-55	0.5366948712461568	0.493	0.316	1.372477453746005e-50	nonMalignant	TXNIP	0.177
BRD2	1.5959292136728234e-54	0.31675516680713917	0.345	0.19	3.7111737934747834e-50	nonMalignant	BRD2	0.15499999999999997
HERPUD1	1.0172297995656393e-52	0.40913221066371475	0.488	0.326	2.3654661759099376e-48	nonMalignant	HERPUD1	0.16199999999999998
SLBP	2.1696898980937486e-52	0.28730673368206344	0.264	0.147	5.045396889027203e-48	nonMalignant	SLBP	0.11700000000000002
ARHGDIA	4.813743298553712e-52	0.31743927918121523	0.419	0.267	1.1193878666456802e-47	nonMalignant	ARHGDIA	0.15199999999999997
GBP2	1.4420439377630846e-51	0.31311782202391936	0.267	0.139	3.353328972874277e-47	nonMalignant	GBP2	0.128
MT1X	1.2073269472526763e-50	1.11504871446108	0.548	0.5	2.8075180831413732e-46	nonMalignant	MT1X	0.04800000000000004
PNISR	2.4651934432170003e-50	0.30599807550852537	0.367	0.208	5.732560832856813e-46	nonMalignant	PNISR	0.159
ANXA11	2.941476736735971e-50	0.2736085341658779	0.309	0.166	6.840110003605828e-46	nonMalignant	ANXA11	0.143
BIRC5	2.2533936424235432e-49	0.33287819707370186	0.3	0.15	5.240041576091707e-45	nonMalignant	BIRC5	0.15
CD47	3.962983357979353e-49	0.2818340524157627	0.349	0.216	9.215521500645187e-45	nonMalignant	CD47	0.13299999999999998
SYAP1	4.776540357894245e-49	0.29478932635074484	0.331	0.212	1.1107366948247278e-44	nonMalignant	SYAP1	0.11900000000000002
PNN	5.740370108243626e-49	0.28498006552174027	0.314	0.17	1.3348656649709728e-44	nonMalignant	PNN	0.144
EIF3A	7.042286616953278e-49	0.2975890272938449	0.384	0.229	1.6376133299063152e-44	nonMalignant	EIF3A	0.155
RPL17	1.3222614709634632e-48	0.3033255177232621	0.736	0.797	3.074786824578437e-44	nonMalignant	RPL17	-0.061000000000000054
RPL27A	1.3531041904781108e-48	0.28185720678601633	0.995	0.982	3.1465084845377987e-44	nonMalignant	RPL27A	0.013000000000000012
RPS27L	1.8806739868991175e-48	0.2674619261671898	0.794	0.827	4.373319289135208e-44	nonMalignant	RPS27L	-0.03299999999999992
RPS19	3.499096887212901e-48	0.2733355013086536	0.998	0.995	8.13679990152488e-44	nonMalignant	RPS19	0.0030000000000000027
BTG2	7.838592139630846e-48	0.3648183515503809	0.292	0.147	1.822786216149757e-43	nonMalignant	BTG2	0.145
LBR	8.489573924775434e-48	0.2776087217028469	0.291	0.151	1.9741655204672795e-43	nonMalignant	LBR	0.13999999999999999
CD59	1.348031358791734e-47	0.35081181054980615	0.399	0.355	3.1347121217342982e-43	nonMalignant	CD59	0.04400000000000004
BIRC3	1.728884601659749e-47	0.42934117332169885	0.336	0.188	4.02034825269958e-43	nonMalignant	BIRC3	0.14800000000000002
JUND	2.639107252100082e-47	0.49899869323330526	0.47	0.324	6.13698000403353e-43	nonMalignant	JUND	0.14599999999999996
RPS28	1.040024328023928e-46	0.27759939481811413	0.992	0.985	2.4184725723868423e-42	nonMalignant	RPS28	0.007000000000000006
IFI27L2	3.3548827115925987e-46	0.266371573278435	0.304	0.157	7.801444257537429e-42	nonMalignant	IFI27L2	0.147
CBX5	3.3728443435876407e-46	0.2596517971689897	0.265	0.137	7.8432122365787e-42	nonMalignant	CBX5	0.128
XRCC5	3.559914580292023e-46	0.3147784532178983	0.488	0.363	8.27822536501107e-42	nonMalignant	XRCC5	0.125
SET	4.497903372602367e-46	0.31846312284380063	0.593	0.517	1.0459424502649544e-41	nonMalignant	SET	0.07599999999999996
HNRNPA0	5.702555454157495e-46	0.3079885849701018	0.399	0.273	1.326072245309784e-41	nonMalignant	HNRNPA0	0.126
RPL28	5.881436255194421e-46	0.3877365138410269	0.984	0.975	1.3676691867829107e-41	nonMalignant	RPL28	0.009000000000000008
CCNL1	8.213241226500549e-46	0.30161488300296013	0.384	0.227	1.9099071148104376e-41	nonMalignant	CCNL1	0.157
PCBP1	1.2639992924176072e-45	0.3267715165942865	0.517	0.384	2.939303954587904e-41	nonMalignant	PCBP1	0.133
RALY	1.3474647330922763e-45	0.27778474891163857	0.322	0.219	3.1333944903327794e-41	nonMalignant	RALY	0.10300000000000001
PIK3R1	2.8059847588446274e-45	0.2724507491414743	0.26	0.134	6.525036958217296e-41	nonMalignant	PIK3R1	0.126
TAF7	4.759105672953357e-45	0.2611589604010349	0.307	0.174	1.1066824331885736e-40	nonMalignant	TAF7	0.133
RPS25	5.893862651189194e-45	0.27398865137458994	0.984	0.97	1.370558820907535e-40	nonMalignant	RPS25	0.014000000000000012
SLTM	7.758826361702241e-45	0.26127751818260286	0.314	0.176	1.804237482150239e-40	nonMalignant	SLTM	0.138
CDC42SE1	2.836967532540251e-44	0.3289121672284673	0.282	0.157	6.597084300169099e-40	nonMalignant	CDC42SE1	0.12499999999999997
PNRC2	4.806011209386911e-44	0.2516726107262402	0.302	0.173	1.1175898466308322e-39	nonMalignant	PNRC2	0.129
CAPZA1	7.899160049137753e-44	0.2923349376525952	0.389	0.276	1.8368706778264928e-39	nonMalignant	CAPZA1	0.11299999999999999
RBM3	1.0162689528084958e-43	0.3070914313834845	0.515	0.399	2.3632318228608763e-39	nonMalignant	RBM3	0.11599999999999999
CKLF	3.5240399134605816e-43	0.30768430806894603	0.376	0.267	8.194802414761237e-39	nonMalignant	CKLF	0.10899999999999999
RPS9	6.252226412828169e-43	0.2765409127253262	0.985	0.975	1.4538927300390625e-38	nonMalignant	RPS9	0.010000000000000009
CMC2	6.935668161806448e-43	0.26851387137415134	0.303	0.185	1.6128202743464713e-38	nonMalignant	CMC2	0.118
HNRNPM	1.5414598693383524e-42	0.28992819465202935	0.42	0.304	3.5845107801594046e-38	nonMalignant	HNRNPM	0.11599999999999999
N4BP2L2	5.047950279152827e-42	0.27748349869244937	0.359	0.211	1.1738503579141984e-37	nonMalignant	N4BP2L2	0.148
